Net,epoch,epoch_loss,train_accuracy,val_score,iou_score,pr_auc,precision,recall,confusion
UNet,1,1.413258998893028,0.8235045392845053,0.3389968474706014,0.05064969373246034,0.4854623656716253,0.8991309732839555,0.1838500722249349,"[[ 1012276 11737871        0        0]
 [     395  1651555        0        0]
 [     331    99866        0        0]
 [     623    46075        0        0]]"
UNet,2,0.18819613512172256,0.9807689051038915,0.36742672324180603,0.14813527514537175,0.7661246975942841,0.9066140944773496,0.4728679656982422,"[[5237073 7513074       0       0]
 [   1083 1650867       0       0]
 [    220   99977       0       0]
 [   2183   44515       0       0]]"
UNet,3,0.18062257489492728,0.9827884965105373,0.3974199891090393,0.22117667893568674,0.8749506777506758,0.9148979111319294,0.6702123387654622,"[[8116886 4633261       0       0]
 [   2412 1649538       0       0]
 [    613   99584       0       0]
 [   5317   41381       0       0]]"
UNet,4,0.1747878069101378,0.9824098701044341,0.4512876570224762,0.30472410917282106,0.9593357312981764,0.9319245472301763,0.8330535888671875,"[[10489212  2260935        0        0]
 [    6186  1645764        0        0]
 [    2737    97460        0        0]
 [   19878    26820        0        0]]"
UNet,5,0.17138992631158165,0.9818991828393516,0.47673163811365765,0.338435290257136,0.9703536403595422,0.941176657351907,0.8807216644287109,"[[11184285  1565862        0        0]
 [   10344  1641606        0        0]
 [    4369    95828        0        0]
 [   24878    21820        0        0]]"
UNet,6,0.1728600263595581,0.9832915591573804,0.4986070195833842,0.36625171701113385,0.9692333432264078,0.9491615665216285,0.9151416524251301,"[[11692148  1057999        0        0]
 [   11202  1640748        0        0]
 [    4562    95635        0        0]
 [   25495    21203        0        0]]"
UNet,7,0.17531476741613344,0.9829565083259509,0.5041505595048269,0.37347514828046163,0.9629830758169736,0.9518751051696178,0.9203207270304362,"[[11763517   986630        0        0]
 [    9885  1642065        0        0]
 [    3948    96249        0        0]
 [   24102    22596        0        0]]"
UNet,8,0.17002604728521303,0.9828440035915257,0.541088322798411,0.4223360538482666,0.9820342285501776,0.9692077074656918,0.9609669748942057,"[[12361829   388318        0        0]
 [   19168  1632782        0        0]
 [    5394    94803        0        0]
 [   27252    19446        0        0]]"
UNet,9,0.1692635929861734,0.9821321627197294,0.56099800268809,0.4498279611269633,0.9890104986417981,0.9804443802734966,0.9781939824422201,"[[12624798   125349        0        0]
 [   37249  1614701        0        0]
 [    6542    93655        0        0]
 [   29350    17348        0        0]]"
UNet,10,0.1697156457013862,0.9831881812259804,0.5519063274065653,0.43671727577845254,0.9842230150679353,0.9762336655881924,0.9709415054321289,"[[12490361   259786        0        0]
 [    7343  1644607        0        0]
 [    2445    97752        0        0]
 [   18554    28144        0        0]]"
UNet,11,0.172924094421919,0.9825866381445834,0.5570402344067892,0.4441765447457631,0.9864631570772787,0.9794132714270732,0.9757619349161782,"[[12558840   191307        0        0]
 [    7436  1644514        0        0]
 [    2341    97856        0        0]
 [   17915    28783        0        0]]"
UNet,12,0.1731244491976361,0.9832489940013585,0.5681762099266052,0.4605688254038493,0.9908284950536997,0.9855469202994301,0.9843274688720703,"[[12689872    60275        0        0]
 [   16978  1634972        0        0]
 [    3574    96623        0        0]
 [   22145    24553        0        0]]"
